bucket	date	oca_title	best_ours	score
present	01-01	The Circumcision of our Lord and Savior Jesus Christ	Circumcision of Our Lord	1.0
present	01-01	Saint Basil the Great, Archbishop of Caesarea in Cappadocia	Our Father among the Saints Basil the Great (379).	1.0
present	01-01	Martyr Basil of Ancyra	Our Father among the Saints Basil the Great (379).	1.0
present	01-01	Saint Emilia, Mother of Saint Basil the Great	Our Father among the Saints Basil the Great (379).	1.0
missing	01-01	Icon of the Mother of God “You are a Vineyard” (Georgian: Shen khar venakhi)		0.0
present	01-01	Monastic Martyr Telemakhos	Telemachos the Martyr	1.0
present	01-02	Forefeast of the Theophany of our Lord and Savior Jesus Christ	Forefeast of Theophany	1.0
present	01-02	Repose of Venerable Seraphim, Wonderworker of Sarov	Repose of St Seraphim of Sarov	1.0
present	01-02	Saint Sylvester, Pope of Rome	St Sylvester, Pope of Rome (335)	1.0
present	01-02	Venerable Sylvester of the Kiev Near Caves	Sylvester of the Kiev Caves	1.0
probable	01-02	Righteous Juliana of Lazarevo, Murom	Venerable Juliana of Lazarevskoye (1604)	0.5
missing	01-02	Hieromartyr Theogenes, Bishop of Parium on the Hellespont		0.0
probable	01-02	New Martyr George of Iberia	Holy New Martyr George the Georgian (1770)	0.5
present	01-03	Forefeast of the Theophany of our Lord and Savior Jesus Christ	Forefeast of Theophany	1.0
present	01-03	Holy Prophet Malachi	Prophet Malachi	1.0
present	01-03	Martyr Gordius at Caesarea, in Cappadocia	Holy Martyr Gordius of Caesarea (4th c.)	1.0
present	01-03	Venerable Genevieve of Paris	Our Holy Mother Genevieve of Paris (ca. 502)	1.0
missing	01-03	Saint Euthymius (Takaishvili)		0.0
missing	01-03	Discovery of the Relics of the Holy Great Martyr Ephraim		0.0
present	01-04	Forefeast of the Theophany of our Lord and Savior Jesus Christ	Forefeast of Theophany	1.0
missing	01-04	Synaxis of the Seventy Apostles		0.0
present	01-04	Venerable Theoctistus, Abbot at Cucomo, in Sicily	Our Righteous Father Theoctistus, Abbot of Cucomo in Sicily	1.0
present	01-04	Repose of Saint Eustathius I, Archbishop of Serbia	Eustathios Archbishop of Serbia	1.0
elsewhere	01-04	Saint Aquila, Deacon, of the Kiev Caves	08-28  Synaxis of the Kiev Cave Fathers	1.0
elsewhere	01-04	Confessors Zosimus the Hermit and Athanasius the Commentarisius (Superintendent of Prisoners), Anchorites, of Cilicia	09-19  Holy Martyr Zosimas the Hermit of Cilicia (4th c.)	1.0
present	01-04	Saint Nikephoros the Leper	Nikephoros the Leper	1.0
present	01-04	Venerable Euthymius and twelve other Monks, martyred at Vatopedi	Righteous Euthymios of Vatopedi	1.0
present	01-04	Venerable New Martyr Onuphrius of Hilandar (Mount Athos)	New Martyr Onuphrios	1.0
missing	01-04	Holy Fathers of the Shio-Mgvime Monastery		0.0
missing	01-04	Metropolitan Symeon of Smolensk		0.0
present	01-05	Eve of the Theophany of our Lord and Savior Jesus Christ	Eve of Theophany	1.0
present	01-05	Hieromartyr Theopemptus, Bishop of Nicomedia, and Martyr Theonas	Holy Martyrs Theopemptus and Theonas (ca. 290)	1.0
present	01-05	Venerable Synkletika of Alexandria	Our Venerable Mother Syncletike (4th c.)	1.0
missing	01-05	Prophet Micah		0.0
present	01-05	Saint Apollinaria of Egypt	Apollinaria of Egypt	1.0
missing	01-05	Venerable Phosterius the Hermit		0.0
missing	01-05	Venerable Menas of Sinai		0.0
missing	01-05	Venerable Gregory of Crete		0.0
missing	01-05	Venerable Romanus the Martyr		0.0
present	01-06	Feast of the Theophany of our Lord and Savior Jesus Christ	Theophany of Our Lord and Savior Jesus Christ	1.0
missing	01-06	Venerable Macarius of Mount Athos		0.0
elsewhere	01-07	Afterfeast of the Theophany of our Lord and Savior Jesus Christ	01-06  The Holy Theophany of our Lord, God and Savior Jesus Christ	0.83
present	01-07	Synaxis of the Holy Glorious Prophet, Forerunner and Baptist John	Synaxis of St John the Baptist	1.0
missing	01-07	Saint Pakhomios of Keno Lake		0.0
missing	01-07	Saint Brannock of Braunton		0.0
present	01-07	Saint Cedd of Lastingham	Our Venerable Father Cedd, Bishop of Essex and Abbot of Lastingham (664)	1.0
elsewhere	01-08	Afterfeast of the Theophany of our Lord and Savior Jesus Christ	01-06  The Holy Theophany of our Lord, God and Savior Jesus Christ	0.83
present	01-08	Venerable George the Chozebite, Abbot	Ven. George the Chozebite	1.0
probable	01-08	Venerable Domnica of Constantinople	Our Venerable Mother Domnica (Domnina) (ca. 474)	0.5
present	01-08	Saint Emilian the Confessor, Bishop of Cyzicus	Emilianos the Confessor, Bishop of Cyzikos	1.0
present	01-08	Venerable Gregory, Wonderworker of the Kiev Near Caves	Gregory of the Kiev Caves	1.0
present	01-08	Venerable Gregory the Recluse, of the Kiev Caves	Gregory of the Kiev Caves	1.0
missing	01-08	Hieromartyr Isidore and 72 others at Yuriev, Estonia		0.0
missing	01-08	Saint Paisius of Uglich		0.0
missing	01-08	Saint Carterius of Caesarea in Cappadocia		0.0
missing	01-08	Martyrs Theophilus the Deacon, and Helladius, in Libya		0.0
missing	01-08	Martyrs Julian and his wife, Basilissa, and those with them in Egypt		0.0
missing	01-08	Venerable Elias the Hermit, of Egypt		0.0
missing	01-08	Martyr Abo the Perfumer, of Tbilisi, Georgia		0.0
probable	01-08	Venerable Gregory of Ochrid	Gregory of the Kiev Caves	0.5
elsewhere	01-09	Afterfeast of the Theophany of our Lord and Savior Jesus Christ	01-06  The Holy Theophany of our Lord, God and Savior Jesus Christ	0.83
present	01-09	Martyr Polyeuktos of Melitene in Armenia	Martyr Polyeuctus of Melitene in Armenia	1.0
present	01-09	Hieromartyr Philip, Metropolitan of Moscow and All Russia	Hieromartyr Philip, Metropolitan of Moscow	1.0
missing	01-09	Prophet Shemaiah (Samaia or Semeias)		0.0
present	01-09	Saint Peter, Bishop of Sebaste, in Armenia	Saint Peter II, Bishop of Sebaste (4th c.)	1.0
